source,target,weight
0,1,1
0,352,1
1,77,2
1,106,1
1,219,1
1,321,2
1,347,1
2,3,1
2,216,1
3,224,1
3,258,1
3,224,1
3,258,1
3,260,1
3,338,1
4,5,1
4,6,1
4,160,2
4,301,1
5,6,1
6,215,1
6,221,1
6,345,1
7,8,2
7,295,1
8,9,1
8,34,1
8,39,3
8,58,1
9,10,2
9,295,1
10,348,2
10,36,1
10,251,1
11,12,1
11,156,1
12,65,1
12,290,1
12,324,1
13,14,1
13,354,1
14,300,1
15,16,1
16,117,1
16,122,1
17,18,1
17,318,1
18,309,1
19,20,1
19,181,1
20,39,1
21,22,1
21,169,1
22,262,1
23,24,1
23,73,1
24,311,1
25,26,1
25,95,1
26,97,1
26,191,1
26,192,1
27,28,1
27,29,2
27,30,3
27,31,1
27,175,1
27,187,1
27,350,1
28,67,1
28,68,1
28,279,1
29,49,1
29,315,1
30,184,3
31,68,1
32,33,1
32,127,1
33,358,1
34,35,1
34,39,1
34,119,1
34,180,1
34,36,1
35,56,1
35,69,1
35,343,1
36,337,1
36,289,1
36,360,1
37,38,3
37,39,3
38,181,3
40,41,1
40,170,2
40,363,1
41,52,1
42,43,1
42,199,1
43,185,1
44,45,1
44,46,1
44,221,2
45,46,1
45,161,2
45,162,1
45,196,1
45,261,1
47,48,2
47,49,2
48,162,2
48,246,1
48,310,1
49,174,1
49,292,1
49,313,1
49,314,1
50,51,1
50,325,1
51,146,1
52,53,1
53,147,1
54,55,1
54,201,1
55,99,1
56,57,1
57,102,1
57,103,1
57,333,1
58,59,1
59,76,2
59,219,1
59,348,2
60,61,2
60,179,2
61,109,2
62,63,1
62,336,1
62,64,1
62,226,1
64,284,1
65,66,1
66,106,1
67,68,1
67,213,1
67,214,1
67,252,1
67,320,1
68,183,1
68,206,1
68,213,1
69,70,1
70,176,1
70,277,1
71,72,1
71,250,1
72,301,1
73,361,1
74,75,1
74,326,1
75,156,1
76,77,2
78,79,1
78,131,1
79,201,1
80,81,1
81,130,1
81,257,1
81,351,1
82,83,1
82,84,1
83,193,1
84,103,1
85,86,1
85,87,1
86,187,1
86,265,1
86,189,1
87,260,1
88,89,1
88,332,1
89,151,1
90,91,1
90,173,1
91,131,1
92,93,1
92,116,1
93,364,1
94,95,1
94,181,1
96,97,1
96,98,1
97,181,1
97,111,1
98,208,1
99,100,1
99,101,1
99,262,1
100,101,1
100,181,2
100,183,2
100,182,1
102,105,1
102,104,1
102,324,1
103,327,1
103,355,1
104,239,1
105,106,1
106,107,1
106,108,1
106,347,1
107,142,1
108,323,1
109,110,2
110,295,2
111,112,1
111,113,1
112,149,1
113,150,1
114,115,1
114,346,1
115,271,1
116,233,1
117,125,1
118,119,1
118,135,1
120,121,2
120,213,1
120,281,1
121,179,2
121,180,2
121,214,2
123,124,1
123,210,1
124,332,1
125,296,1
126,127,1
126,130,1
128,129,1
128,153,1
129,255,1
132,133,1
132,358,1
133,344,1
134,135,1
134,281,1
135,206,1
135,245,1
136,137,1
136,239,1
137,256,1
138,139,1
138,209,1
139,226,1
140,141,1
140,296,1
142,143,1
143,325,1
144,145,1
144,256,1
145,154,1
146,197,1
147,148,1
148,177,1
149,220,1
150,217,1
151,152,1
152,357,1
153,317,1
154,155,1
155,178,1
157,158,1
157,298,1
158,265,1
159,160,1
159,299,1
160,300,1
161,162,1
161,200,3
163,164,1
163,223,1
164,338,1
165,166,2
165,167,2
166,232,1
166,329,1
167,253,2
168,169,1
168,186,1
170,322,2
171,172,1
171,341,1
172,316,1
174,175,1
176,180,1
176,257,1
177,247,1
180,214,1
180,277,1
180,343,1
181,184,3
181,245,1
182,266,1
183,205,1
185,210,1
186,294,1
186,365,1
187,188,1
187,272,1
188,350,1
189,190,1
190,207,1
191,293,1
192,336,1
193,194,1
194,318,1
194,356,1
195,196,1
195,316,1
196,254,1
196,261,1
198,199,1
198,330,1
200,273,1
200,339,2
202,203,2
202,204,2
204,280,2
205,206,1
206,281,1
207,208,1
207,209,1
211,212,1
211,303,1
212,222,1
213,281,1
214,349,2
215,264,1
215,216,1
215,264,1
217,218,1
218,219,1
219,282,1
219,326,1
219,352,1
219,353,1
220,251,1
221,328,1
222,223,1
223,299,1
224,225,1
224,225,1
225,305,1
225,305,1
227,229,1
227,228,1
227,229,1
228,233,1
229,263,1
229,263,1
230,231,1
230,232,1
230,302,1
231,306,1
234,235,1
234,236,1
234,237,1
235,237,1
236,248,1
237,238,1
240,241,1
241,359,1
242,243,2
242,244,2
243,253,2
246,338,1
247,362,1
248,249,1
249,250,1
252,273,1
254,255,1
258,259,1
258,259,1
259,267,1
259,266,1
261,338,1
263,304,1
263,304,1
264,331,1
264,331,1
267,268,1
268,292,1
269,270,1
269,291,1
271,272,1
272,298,1
272,306,1
274,275,2
274,276,2
275,280,2
276,314,2
278,279,1
278,310,1
282,283,1
283,286,1
283,287,1
284,285,1
285,288,1
286,340,1
287,330,1
288,363,1
289,290,1
290,324,1
291,323,1
293,361,1
296,297,1
297,307,1
302,308,1
303,335,1
304,305,1
304,305,1
307,308,1
311,312,1
314,315,1
317,327,1
319,320,1
319,351,1
320,339,2
320,349,2
321,322,2
328,345,1
329,342,1
332,340,1
333,337,1
334,335,1
334,366,1
341,368,1
342,354,1
359,365,1
367,368,1
