source,target,weight
0,1,1
0,2,1
0,6,1
2,55,1
2,7,1
3,56,1
3,4,1
3,7,1
4,7,1
5,7,1
7,8,1
7,10,1
7,46,1
7,46,1
7,47,1
7,48,1
7,53,1
7,22,1
7,56,1
8,9,1
8,25,1
8,26,1
8,27,1
8,28,1
8,61,1
10,49,1
10,11,1
12,13,1
12,22,1
14,36,1
15,22,1
15,22,1
16,22,1
17,22,1
18,22,1
19,20,1
19,44,1
19,22,1
20,21,1
20,22,1
22,36,1
22,37,1
22,44,1
22,54,1
22,23,1
22,25,1
22,28,1
22,61,1
22,62,1
22,63,1
24,25,1
27,31,1
29,36,1
30,36,1
31,32,1
31,35,1
31,34,1
31,33,1
36,38,1
36,39,1
36,40,1
36,41,1
36,42,1
36,43,1
45,48,1
46,47,1
46,53,1
50,52,1
51,52,1
52,53,1
54,64,1
54,57,1
54,62,1
54,63,1
55,60,1
56,60,1
57,58,1
58,59,1
59,60,1
