source,target,weight
0,84,128.9214
12,45,45.1298
14,58,48.3598
15,69,45.1328
16,83,41.9087
17,88,44.544
33,122,45.131
35,83,123.0013
36,139,48.356
40,164,45.1309
42,180,45.1353
44,85,128.7578
44,159,151.4434
45,58,81.1748
45,46,147.7112
46,181,144.8494
46,63,100.1585
46,48,56.019
47,62,88.6302
47,52,169.4884
48,63,90.9417
48,49,144.414
49,59,85.2748
49,50,125.9708
50,60,86.7544
50,51,70.6663
51,64,92.8125
51,47,91.7619
52,185,130.63
52,54,104.2678
53,188,132.1568
53,55,124.4131
54,67,85.5213
54,53,129.0382
55,66,86.5329
55,56,143.0388
56,66,192.9145
56,57,177.2401
57,82,183.452
57,13,31.1033
58,69,102.8899
58,65,151.7624
59,72,101.2943
59,60,125.7374
60,64,38.686
61,75,101.066
61,52,85.5072
61,67,102.7147
62,64,122.4186
62,61,171.0145
63,71,104.1049
63,59,154.5802
64,74,111.0124
64,78,104.8799
65,46,89.2852
65,63,42.0772
66,79,99.4994
67,76,97.957
67,68,130.6022
68,53,87.0619
68,66,150.8118
69,88,171.3413
69,70,154.7408
70,65,96.0657
70,71,76.2836
71,91,189.38
71,72,117.1426
72,92,172.3151
72,74,116.0557
73,62,99.5115
74,90,185.1582
75,94,175.7061
75,77,87.0758
75,76,102.6205
76,97,177.7276
76,80,130.6022
77,73,84.0101
77,93,171.0428
78,74,61.9787
78,96,175.6855
78,73,107.3178
79,98,177.2333
79,81,37.5141
80,68,97.957
80,79,152.3584
81,66,109.9131
81,101,186.083
82,81,256.523
82,102,177.2604
83,122,173.97
83,84,109.4649
84,85,99.3531
85,123,173.3226
85,86,139.3465
86,124,172.9007
86,87,128.5694
87,125,172.5021
87,118,130.9042
88,89,154.7469
89,70,171.7742
89,91,152.9521
90,92,42.7398
90,105,91.7392
90,96,137.0322
91,106,91.5596
91,92,40.4816
93,95,85.6344
94,109,90.2249
94,93,80.903
94,97,111.98
95,73,178.7947
95,108,87.0758
96,95,107.2728
97,110,88.6711
97,99,124.3839
98,113,91.726
99,80,177.2333
99,98,152.3584
100,114,99.4629
100,102,125.9385
101,98,96.4401
101,100,74.6245
102,29,153.1357
102,18,28.0812
103,19,46.6404
103,88,91.648
103,23,77.7339
104,25,76.1951
104,103,153.9445
104,89,92.35
105,20,71.532
105,107,136.8204
106,104,149.2571
106,21,71.5151
107,24,71.5828
107,96,85.5213
108,22,68.4765
108,107,107.284
109,26,70.1159
109,108,161.6939
110,32,71.5151
110,111,122.8589
111,28,67.0137
111,99,90.1847
112,31,66.8691
112,114,38.898
113,27,65.315
113,111,150.8118
113,112,90.1713
114,101,95.8998
114,30,70.4424
115,128,186.1998
115,162,187.1538
116,117,242.5297
116,149,122.8589
117,118,166.3795
117,120,60.6324
118,126,123.5538
119,116,128.5482
119,121,33.4888
120,130,132.1476
120,130,228.7314
121,129,96.4026
121,115,271.596
122,139,180.6736
122,123,207.8348
123,140,181.2145
123,124,140.3185
124,141,181.5949
124,125,128.0681
125,142,181.9284
125,126,123.376
126,134,125.2102
127,157,251.8626
127,34,27.9842
128,137,193.4877
128,127,65.315
130,133,57.5231
131,129,30.0258
131,138,125.7065
132,136,63.0824
132,129,93.4489
133,134,164.8031
133,135,245.6833
134,156,133.7113
135,132,57.8582
136,131,78.6611
137,138,99.2322
137,157,194.0515
138,150,147.3869
139,164,219.0256
139,140,206.8196
140,141,141.3433
141,145,62.491
141,142,127.5473
142,155,76.5527
142,134,135.4576
143,2,54.4359
143,149,88.6711
144,9,52.9504
144,143,110.3821
145,167,155.4901
145,155,131.5696
146,5,54.4137
146,87,77.4272
146,148,127.4836
147,3,64.7948
147,117,124.3742
147,144,46.6662
148,118,127.5689
148,4,55.9684
148,147,161.6865
149,8,58.5228
149,161,110.4259
150,151,105.7181
150,136,98.1419
150,157,371.6663
151,135,127.5215
151,174,153.9759
152,154,48.2201
153,152,102.6205
153,151,94.8481
154,170,156.8902
154,156,163.2486
154,133,133.7385
155,168,141.0411
155,156,122.1958
156,169,140.5882
157,175,143.8413
157,37,29.7021
158,10,56.7457
158,162,160.1488
159,86,71.1861
159,6,59.1595
159,146,126.0152
160,1,60.6524
160,158,87.0758
161,119,174.1308
161,7,59.2616
161,160,121.2649
162,127,258.0952
162,11,59.1595
162,39,26.4295
163,165,93.6093
163,140,124.7885
163,145,154.4408
164,38,116.8128
164,180,193.762
164,165,205.5827
164,163,225.6305
165,182,195.348
165,167,142.5695
166,185,199.0048
166,152,141.5525
166,171,107.3178
167,183,196.4733
167,168,126.9163
168,184,197.4531
168,169,124.527
169,179,175.8216
169,170,96.7089
170,166,108.1801
171,153,143.0303
172,178,101.9667
172,173,94.8353
173,150,146.1397
173,177,101.054
174,188,196.6156
174,171,138.4012
174,176,104.2678
174,173,62.2065
175,57,329.6063
175,172,279.9352
175,41,26.4752
177,176,26.4752
177,191,99.548
177,178,93.2949
178,190,98.6106
179,186,35.7914
179,187,34.7637
179,170,182.0246
180,45,134.8902
180,181,93.1164
181,164,216.3541
181,182,111.3859
182,48,132.635
182,183,143.6841
183,49,131.054
183,184,126.3597
184,50,129.6603
185,187,164.8032
185,189,105.7638
186,51,141.8199
186,184,127.8262
187,47,125.9385
188,189,129.0383
188,191,77.796
189,54,132.1568
189,171,199.023
190,43,115.0566
191,176,105.2828
191,55,140.6617
191,190,91.726
